gameId	code	displayName	category	family	regionScope	provinceCode	cityCode	version	enabled	sourceModule
505	hebmj	HEBMJ	MAHJONG	mahjong-lai-zi	PROVINCE	haerbin		1.0.0	1	HEBMJ
396	hfbzmj	HFBZMJ	MAHJONG	mahjong-standard	PROVINCE	anhui		1.0.0	0	HFBZMJ
275	hfmj	HFMJ	MAHJONG	mahjong-standard	PROVINCE	anhui		1.0.0	0	HFMJ
152	hhhgw	HHHGW	MAHJONG	mahjong-standard	PROVINCE	hunan		1.0.0	0	HHHGW
170	hhpdk	HHPDK	POKER	poker-pao-de-kuai	PROVINCE	hunan		1.0.0	0	HHPDK
900001	hjmj	HJMJ	MAHJONG	mahjong-xue-zhan	PROVINCE	unpublished		1.0.0	0	HJMJ
470	hldmj	HLDMJ	MAHJONG	mahjong-lai-zi	PROVINCE	liaoning		1.0.0	1	HLDMJ
178	hnaymj	HNAYMJ	MAHJONG	mahjong-lai-zi	PROVINCE	henan		1.0.0	0	HNAYMJ
113	hncsmj	HNCSMJ	MAHJONG	mahjong-standard	PROVINCE	hunan		1.0.0	0	HNCSMJ
267	hndzp	HNDZP	POKER	poker-hainan-landlord	PROVINCE	hainan		1.0.0	0	HNDZP
185	hnhbmj	HNHBMJ	MAHJONG	mahjong-lai-zi	PROVINCE	henan		1.0.0	0	HNHBMJ
161	hnjymj	HNJYMJ	MAHJONG	mahjong-standard	PROVINCE	henan		1.0.0	0	HNJYMJ
169	hnjzmj	HNJZMJ	MAHJONG	mahjong-standard	PROVINCE	hunan		1.0.0	0	HNJZMJ
260	hnmj	HNMJ	MAHJONG	mahjong-lai-zi	PROVINCE	hainan		1.0.0	0	HNMJ
131	hnpdk	HNPDK	POKER	poker-pao-de-kuai	PROVINCE	henan		1.0.0	1	HNPDK
148	hnpdsmj	HNPDSMJ	MAHJONG	mahjong-lai-zi	PROVINCE	henan		1.0.0	0	HNPDSMJ
359	hnsymj	HNSYMJ	MAHJONG	mahjong-lai-zi	PROVINCE	hunan		1.0.0	0	HNSYMJ
147	hnxcmj	HNXCMJ	MAHJONG	mahjong-standard	PROVINCE	henan		1.0.0	0	HNXCMJ
97	hnxymj	HNXYMJ	MAHJONG	mahjong-standard	PROVINCE	henan		1.0.0	1	HNXYMJ
356	hnyjmj	HNYJMJ	MAHJONG	mahjong-lai-zi	PROVINCE	hunan		1.0.0	0	HNYJMJ
126	hnzzmj	HNZZMJ	MAHJONG	mahjong-standard	PROVINCE	henan		1.0.0	1	HNZZMJ
900002	hsmj	HSMJ	MAHJONG	mahjong-standard	PROVINCE	hubei		1.0.0	0	HSMJ
196	hstdhmj	HSTDHMJ	MAHJONG	mahjong-tui-dao-hu	PROVINCE	hubei		1.0.0	1	HSTDHMJ
157	htmj	HTMJ	MAHJONG	mahjong-standard	PROVINCE	hunan		1.0.0	0	HTMJ
454	hw	HW	POKER	poker-pao-de-kuai	PROVINCE	liaoning		1.0.0	1	HW
373	hyhsmj	HYHSMJ	MAHJONG	mahjong-standard	PROVINCE	hunan		1.0.0	0	HYHSMJ
362	hylymj	HYLYMJ	MAHJONG	mahjong-lai-zi	PROVINCE	hunan		1.0.0	0	HYLYMJ
623	hzbdmj	HZBDMJ	MAHJONG	mahjong-standard	PROVINCE	guangdong		1.0.0	1	HZBDMJ
352	hzjdmj	HZJDMJ	MAHJONG	mahjong-standard	PROVINCE	zhejiang		1.0.0	0	HZJDMJ
1	hzmj	HZMJ	MAHJONG	mahjong-standard	NATIONAL			1.0.0	1	HZMJ
154	hzwmj	HZWMJ	MAHJONG	mahjong-lai-zi	PROVINCE	hunan		1.0.0	0	HZWMJ
187	jamj	JAMJ	MAHJONG	mahjong-lai-zi	PROVINCE	jiangxi		1.0.0	0	JAMJ
457	japdk	JAPDK	POKER	poker-pao-de-kuai	PROVINCE	jiangxi		1.0.0	1	JAPDK
381	jawz	JAWZ	POKER	poker-pao-de-kuai	PROVINCE	jiangxi		1.0.0	0	JAWZ
520	jayxddz	JAYXDDZ	POKER	poker-pao-de-kuai	PROVINCE	jiangxi		1.0.0	1	JAYXDDZ
594	jayxmj	JAYXMJ	MAHJONG	mahjong-lai-zi	PROVINCE	jiangxi		1.0.0	1	JAYXMJ
367	jcahmj	JCAHMJ	MAHJONG	mahjong-standard	PROVINCE	hubei		1.0.0	0	JCAHMJ
240	jchhmj	JCHHMJ	MAHJONG	mahjong-standard	PROVINCE	hubei		1.0.0	0	JCHHMJ
216	jcmj	JCMJ	MAHJONG	mahjong-lai-zi	PROVINCE	gansu		1.0.0	0	JCMJ
234	jdmj	JDMJ	MAHJONG	mahjong-lai-zi	PROVINCE	jiangsu		1.0.0	0	JDMJ
156	jdzmj	JDZMJ	MAHJONG	mahjong-lai-zi	PROVINCE	jiangxi		1.0.0	0	JDZMJ
162	jdzpdk	JDZPDK	POKER	poker-pao-de-kuai	PROVINCE	jiangxi		1.0.0	0	JDZPDK
158	jdzts	JDZTS	POKER	poker-pao-de-kuai	PROVINCE	jiangxi		1.0.0	0	JDZTS
188	jjmj	JJMJ	MAHJONG	mahjong-standard	PROVINCE	jiangxi		1.0.0	0	JJMJ
193	jlmj	JLMJ	MAHJONG	mahjong-standard	PROVINCE	jilin		1.0.0	0	JLMJ
496	jlpk	JLPK	POKER	poker-sheng-ji	PROVINCE	hunan		1.0.0	1	JLPK
270	jmgghmj	JMGGHMJ	MAHJONG	mahjong-lai-zi	PROVINCE	guangdong		1.0.0	0	JMGGHMJ
32	jmhhmj	JMHHMJ	MAHJONG	mahjong-lai-zi	PROVINCE	hubei		1.0.0	1	JMHHMJ
512	jmjsmj	JMJSMJ	MAHJONG	mahjong-lai-zi	PROVINCE	hubei		1.0.0	1	JMJSMJ
303	jmskmj	JMSKMJ	MAHJONG	mahjong-lai-zi	PROVINCE	hubei		1.0.0	0	JMSKMJ
53	jnmj	JNMJ	MAHJONG	mahjong-standard	PROVINCE	shandong		1.0.0	1	JNMJ
166	jsczmj	JSCZMJ	MAHJONG	mahjong-lai-zi	PROVINCE	jiangsu		1.0.0	0	JSCZMJ
168	jsgymj	JSGYMJ	MAHJONG	mahjong-lai-zi	PROVINCE	jiangsu		1.0.0	0	JSGYMJ
165	jshamj	JSHAMJ	MAHJONG	mahjong-standard	PROVINCE	jiangsu		1.0.0	0	JSHAMJ
378	jsmj	JSMJ	MAHJONG	mahjong-lai-zi	PROVINCE	jiangxi		1.0.0	0	JSMJ
256	jsnyzmj	JSNYZMJ	MAHJONG	mahjong-lai-zi	PROVINCE	shanxi		1.0.0	0	JSNYZMJ
93	jssnmj	JSSNMJ	MAHJONG	mahjong-lai-zi	PROVINCE	jiangsu		1.0.0	1	JSSNMJ
164	jssqmj	JSSQMJ	MAHJONG	mahjong-standard	PROVINCE	jiangsu		1.0.0	0	JSSQMJ
247	jstdhmj	JSTDHMJ	MAHJONG	mahjong-tui-dao-hu	PROVINCE	hebei		1.0.0	0	JSTDHMJ
90	jsxymj	JSXYMJ	MAHJONG	mahjong-tui-dao-hu	PROVINCE	jiangsu		1.0.0	0	JSXYMJ
163	jsycmj	JSYCMJ	MAHJONG	mahjong-standard	PROVINCE	jiangsu		1.0.0	0	JSYCMJ
54	jsyzmj	JSYZMJ	MAHJONG	mahjong-standard	PROVINCE	jiangsu		1.0.0	1	JSYZMJ
549	jtmj	JTMJ	MAHJONG	mahjong-standard	PROVINCE	jiangsu		1.0.0	1	JTMJ
605	jtpdk	JTPDK	POKER	poker-pao-de-kuai	PROVINCE	jiangsu		1.0.0	1	JTPDK
116	jxfzgp	JXFZGP	POKER	poker-pao-de-kuai	PROVINCE	jiangxi		1.0.0	1	JXFZGP
111	jxfzmj	JXFZMJ	MAHJONG	mahjong-standard	PROVINCE	jiangxi		1.0.0	1	JXFZMJ
117	jxfzpdk	JXFZPDK	POKER	poker-pao-de-kuai	PROVINCE	jiangxi		1.0.0	1	JXFZPDK
477	jxhs	JXHS	POKER	poker-pao-de-kuai	PROVINCE	zhejiang		1.0.0	1	JXHS
237	jxmj	JXMJ	MAHJONG	mahjong-lai-zi	PROVINCE	zhejiang		1.0.0	0	JXMJ
281	jxndmj	JXNDMJ	MAHJONG	mahjong-standard	PROVINCE	jiangxi		1.0.0	0	JXNDMJ
467	jxndpdk	JXNDPDK	POKER	poker-pao-de-kuai	PROVINCE	jiangxi		1.0.0	1	JXNDPDK
183	jxxymj	JXXYMJ	MAHJONG	mahjong-standard	PROVINCE	jiangxi		1.0.0	0	JXXYMJ
469	jxyz	JXYZ	POKER	poker-pao-de-kuai	PROVINCE	zhejiang		1.0.0	1	JXYZ
610	jyessz	JYESSZ	MAHJONG	mahjong-lai-zi	PROVINCE	jiangsu		1.0.0	1	JYESSZ
71	jymj	JYMJ	MAHJONG	mahjong-lai-zi	PROVINCE	jiangsu		1.0.0	0	JYMJ
300	jzmj	JZMJ	MAHJONG	mahjong-standard	PROVINCE	henan		1.0.0	0	JZMJ
366	jzwzmj	JZWZMJ	MAHJONG	mahjong-xue-liu	PROVINCE	henan		1.0.0	0	JZWZMJ
173	kfmj	KFMJ	MAHJONG	mahjong-standard	PROVINCE	henan		1.0.0	0	KFMJ
497	klmj	KLMJ	MAHJONG	mahjong-standard	PROVINCE	jiangxi		1.0.0	1	KLMJ
95	ksmj	KSMJ	MAHJONG	mahjong-standard	PROVINCE	jiangsu		1.0.0	1	KSMJ
301	lamj	LAMJ	MAHJONG	mahjong-standard	PROVINCE	jiangxi		1.0.0	0	LAMJ
159	lbhzmj	LBHZMJ	MAHJONG	mahjong-standard	PROVINCE	guangxi		1.0.0	0	LBHZMJ
137	lbmj	LBMJ	MAHJONG	mahjong-standard	PROVINCE	guangxi		1.0.0	0	LBMJ
241	lcmj	LCMJ	MAHJONG	mahjong-standard	PROVINCE	jiangxi		1.0.0	0	LCMJ
490	lczp	LCZP	WORD_CARD	word-card-pao-hu-zi	PROVINCE	hunan		1.0.0	1	LCZP
369	lfphmj	LFPHMJ	MAHJONG	mahjong-standard	PROVINCE	sichuan		1.0.0	0	LFPHMJ
530	lgmj	LGMJ	MAHJONG	mahjong-standard	PROVINCE	zhejiang		1.0.0	1	LGMJ
545	lhgmmj	LHGMMJ	MAHJONG	mahjong-standard	PROVINCE	jiangxi		1.0.0	1	LHGMMJ
186	lhmj	LHMJ	MAHJONG	mahjong-standard	PROVINCE	henan		1.0.0	0	LHMJ
129	lhzp	LHZP	POKER	poker-climbing	PROVINCE	jiangxi		1.0.0	0	LHZP
192	ljwsk4	LJWSK4	POKER	poker-pao-de-kuai	PROVINCE	fujian		1.0.0	0	LJWSK4
298	lkmj	LKMJ	MAHJONG	mahjong-standard	PROVINCE	jiangxi		1.0.0	0	LKMJ
310	lkwsk	LKWSK	POKER	poker-pao-de-kuai	PROVINCE	henan		1.0.0	0	LKWSK
