module	javaFiles	category	family	evidenceScores
HNCSMJ	99	MAHJONG	mahjong-standard	MAHJONG:840,POKER:0,LONG_CARD:0,WORD_CARD:0
HNDZP	110	POKER	poker-hainan-landlord	MAHJONG:0,POKER:286,LONG_CARD:0,WORD_CARD:170
HNHBMJ	102	MAHJONG	mahjong-lai-zi	MAHJONG:482,POKER:0,LONG_CARD:0,WORD_CARD:0
HNJYMJ	92	MAHJONG	mahjong-standard	MAHJONG:303,POKER:0,LONG_CARD:0,WORD_CARD:0
HNJZMJ	124	MAHJONG	mahjong-standard	MAHJONG:531,POKER:0,LONG_CARD:0,WORD_CARD:0
HNMJ	115	MAHJONG	mahjong-lai-zi	MAHJONG:609,POKER:0,LONG_CARD:0,WORD_CARD:2
HNPDK	98	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:163,LONG_CARD:0,WORD_CARD:0
HNPDSMJ	109	MAHJONG	mahjong-lai-zi	MAHJONG:498,POKER:0,LONG_CARD:0,WORD_CARD:0
HNSYMJ	113	MAHJONG	mahjong-lai-zi	MAHJONG:495,POKER:0,LONG_CARD:0,WORD_CARD:0
HNXCMJ	98	MAHJONG	mahjong-standard	MAHJONG:361,POKER:0,LONG_CARD:0,WORD_CARD:0
HNXYMJ	96	MAHJONG	mahjong-standard	MAHJONG:389,POKER:0,LONG_CARD:0,WORD_CARD:0
HNYJMJ	109	MAHJONG	mahjong-lai-zi	MAHJONG:500,POKER:0,LONG_CARD:0,WORD_CARD:0
HNZZMJ	97	MAHJONG	mahjong-standard	MAHJONG:319,POKER:0,LONG_CARD:0,WORD_CARD:0
HSMJ	96	MAHJONG	mahjong-standard	MAHJONG:387,POKER:0,LONG_CARD:0,WORD_CARD:0
HSTDHMJ	99	MAHJONG	mahjong-tui-dao-hu	MAHJONG:303,POKER:0,LONG_CARD:0,WORD_CARD:0
HTMJ	102	MAHJONG	mahjong-standard	MAHJONG:319,POKER:0,LONG_CARD:0,WORD_CARD:0
HW	108	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:139,LONG_CARD:0,WORD_CARD:0
HYHSMJ	98	MAHJONG	mahjong-standard	MAHJONG:353,POKER:0,LONG_CARD:0,WORD_CARD:0
HYLYMJ	105	MAHJONG	mahjong-lai-zi	MAHJONG:336,POKER:0,LONG_CARD:0,WORD_CARD:0
HZBDMJ	98	MAHJONG	mahjong-standard	MAHJONG:394,POKER:0,LONG_CARD:0,WORD_CARD:0
